"id","title","abstract","included"
1840,"15th International Conference on Human Retroviruses: HTLV and Related Viruses","The proceedings contain 253 papers. The topics discussed include: altered CD4+/CD8+ T-cell ratio in splenocytes of human T-cell leukemia virus type I tax transgenic mice with inflammatory arthropathy; viral expression directs the fate of B cells in BLV-infected sheep; tet-inducible lymphoma in a new tax transgenic mouse model; bovine immunodeficiency virus as a potentiating cofactor for the experimental bovine leukemia virus infection in sheep; bovine MHC class II DR molecule plays a key role in bovine leukemia virus (BLV)-induced lymphoma; comparative proteomic analysis of cancer stem cells in a tax-transgenic (Tax-Tg) mouse model of adult T-cell leukemia/lymphoma; a life-attenuated BLV deletant as a candidate vaccine to inhibit viral transmission in bovine herds; and high-throughput sequencing reveals novel microRNAs in the bovine leukemia virus (blv)-induced ovine model of leukemia.",0
2090,"102nd Annual Meeting of the American Association of Immunologist, IMMUNOLOGY 2015","The proceedings contain 1758 papers. The topics discussed include: de novo detection and HLA-association of public t cell responses to cytomegalovirus using high-throughput immune repertoire sequencing; abrogation of CD59 function restores activities of neutralizing and non-neutralizing antibodies in triggering antibody-dependent complement-mediated lysis of HIV-1 virions and provirus-activated latently infected cells; evaluation of bone marrow in cowpox virus infection in cynomolgus macaques; glycosylphosphatidylinositol deficiency attenuates the production of infectious HIV-1 and renders the virions sensitive to complement attack; and immune restoration, activation and viral reservoirs in gut-associated lymphoid tissue in SIV-infected long-term non-progressing chinese rhesus macaques on antiretroviral therapy.",0
1136,"Recommendations for a Standardized Avian Coronavirus (AvCoV) Nomenclature: Outcome from Discussions Within the Framework of the European Union COST Action FA1207: ""Towards Control of Avian Coronaviruses: Strategies for Vaccination, Diagnosis and Surveillance""","Viruses within the Coronaviridae family show variations within their genome sequences, especially within the major structural protein, the Spike (S) glycoprotein gene. Therefore, many different antigenic forms, serotypes, or variant strains of avian coronaviruses (AvCoV) exist worldwide. Only a few of them, the so called protectotypes, cross protect against different serotypes. New serotypes arise by recombination or spontaneous mutations. From time to time, antigenic virus variants appear which differ significantly from known serotypes. The result of this variability is an inconsistent nomenclature and classification of virus strains. Furthermore, there are currently no standard classification methods defined. Within the framework of the COST Action FA1207 ""Towards control of avian coronaviruses: strategies for diagnosis, surveillance, and vaccination"" (working groups ""Molecular virology"" and ""Epidemiology""), we aimed at defining and developing a unified and internationally standardized nomenclature and classification of AvCoVs. We recommend the use of ""CoV Genus/AvCov/host/country/specimen id/year"" to refer to AvCoV strains.",0
1742,"First genome sequence of Newcastle disease virus of Genotype VIII from Jordan","Newcastle disease virus (NDV) was detected by reverse transcriptase PCR (RT-PCR) from total RNA isolated from a chicken spleen of a backyard flock in Jordan. The complete coding genome sequence of NDV/chicken/Jordan/J11-spleen/ 2018 was obtained with MiSeq (Illumina) sequencing. Phylogenetic analysis of the concatenated coding sequences classified the virus as class II subgenotype VIIi.",0
2436,"Genotyping the isolates of bovine leukemia virus, circulating in the stavropol territory","The bovine leukemia virus (BLV) circulating on the territory of the Stavropol Territory of Russia is characterized according to the modern classification of subspecies membership. Proviral deoxyribonucleic acid (DNA) of BLV has been separated out of the peripheral blood of animals that had been naturally infected with this virus. Subsequent amplification, sequencing and phylogenetic analysis of a fragment of the env-gene with the length of 444 pairs of nucleotides (p.n.) made it possible to classify the studied isolates as genotypes 4 and 6. Besides, we have separated out the BLV isolate located apart from clusters of isolates of all eight known genotypes, which made it possible to classify it as atypical. In course of sequencing a section of the env gene of BLV provirus isolates separatedin this area, the presence of 31 point mutation in the studied locus has been detected, with 11 of them being significant: 2 transversions and 9 transitions.",0
1540,"Identification and phylogentic analysis of sheep pox during an outbreak of sheep in Sharkia governorate, Egypt","Sheeppox virus (SPPV) is one of the listed and notifiable disease affect sheep production with major effect on the trade of new breed of sheep. This study was conducted to identify sheep pox by using cell culture, electron microscope (EM) and open reading frame (ORF) 103 gene during an outbreak of local breed of sheep occurred in Sharkia Governorate, Egypt in April 2017. Affected adult sheep showed typical skin pox lesion on face, the inner side of lips, inner aspect of the thigh and under the tail. The incidence rate of infection was 23.5% and the mortality rate in young lambs aged 3 to 6 months old was 8.2%. Forty-three scabs and tissue samples from clinically diseased adult sheep and dead lambs were collected and subjected to culture on Vero cell. The cytopathic effect (CPE) was observed within 3 to 7 days in 40 samples. A typical Poxvirus was a brick-like shape with round ends by negative staining of EM and ovoid like structure with dumb-bell shaped DNA core with concave bodies sides by positive staining of EM. By conventional PCR utilizing ORF103 gene and obtained bands of about 570 bp referred to SPPV. The sequence amplicon was analyzed by NCBI-BLAST and register in GeneBank under accession N. MG873537 and phylogentic tree was designed which revealed that the isolated strain of SPPV was resembled with other strains of SPPV isolated in Egypt, India, China, and USA. Finally, both EM and PCR are considered as sensitives, rapids, and powerful methods to identify SPPV from tissue and scabâs samples without the need of further culture in addition to the useful and easily use of ORF103 gene to differentiate SPPV from other Capripoxvirus.",0
2480,"Isolation and Molecular Characterization of Novel Infectious Bronchitis Virus Variants from Vaccinated Broiler Flocks in Egypt","The present study aimed to determine the molecular characteristics of circulating infectious bronchitis virus (IBV) strains in vaccinated broiler flocks in the Giza and Fayoum governorates. Thirty-four isolates were collected, and egg propagation revealed their ability to induce typical IBV lesions after three to five successive passages. Three selected isolates were identified as IBV using a real-time reverse transcriptase-PCR assay targeted the nucleocapsid (N) gene and further characterized by partial spike (S) gene sequence analysis. Phylogenetic analysis revealed their clustering into two variant groups. Group I consisted of one variant (VSVRI_F3), which had 99.1% nucleotide sequence identity to the Q1 reference strain. Group II consisted of variants VSVRI_G4 and VSVRI_G9, which showed 92.8%-94.3% nucleotide identity with the Egyptian variants Eg/12120S/2012, Eg/12197B/2012, and Eg/1265B/2012. Regarding the deduced amino acid sequence, the three variants had 77.1%-85.2% similarity with the vaccine strains currently used in Egypt. These findings highlight the importance of monitoring the prevalence of IBV variants in vaccinated broiler flocks as well as adopting an appropriate vaccination strategy.",0
3035,"Retrotransposable elements on the W chromosome of the silkworm, Bombyx mori","The sex chromosomes of the silkworm, Bombyxmori, are designated ZW(XY) for females and ZZ(XX) for males. The W chromosome of B. mori does not recombine with the Z chromosome and autosomes and no genes for morphological characters have been mapped to the W chromosome as yet. Furthermore, femaleness is determined by the presence of a single W chromosome, regardless of the number of autosomes or Z chromosomes. To understand these interesting features of the W chromosome, it is necessary to analyze the W chromosome at the molecular biology level. Initially to isolate DNA sequences specific for the W chromosome as randomly amplified polymorphic DNA (RAPD) markers, we compared the genomic DNAs between males and females by PCR with arbitrary 10-mer primers. To the present, we have identified 12 W-specific RAPD markers, and with the exception of one RAPD marker, all of the deduced amino acid sequences of these W-specific RAPD markers show similarity to previously reported amino acid sequences of retrotransposable elements from various organisms. After constructing a genomic DNA lambda phage library of B. mori we obtained two lambda phage clones, one containing the W-Kabuki RAPD sequence and one containing the W-Samurai RAPD sequence and found that these DNA sequences comprised nested structures of many retrotransposable elements. To further analyze the W chromosome, we obtained 14 W-specific bacterial artificial chromosome (BAC) clones from three BAC libraries and subjected these clones to shotgun sequencing. The resulting assembly of sequences did not produce a single contiguous sequence due to the presence of many retrotransposable elements. Therefore, we coupled PCR with shotgun sequencing. Through these analyses, we found that many long terminal repeat (LTR) and non-LTR retrotransposons, retroposons, DNA transposons and their derivatives, have accumulated on the W chromosome as strata. These results strongly indicate that retrotransposable elements are the main structural component of the W chromosome.",0
1157,"A novel sapelovirus-like virus isolation from wild boar","A novel sapelovirus-like virus was isolated from a wild boar (Sus scrofa). In this study, partial viral genomic nucleotide sequences were determined using the rapid determination system of viral nucleic acid sequences (RDV) ver. 3.1, which we recently developed for discovering novel viruses. Phylogenetic analysis of VP1 and 3A proteins and their encoding nucleotide sequences of enteroviruses and sapeloviruses indicated that the isolated virus was closely related to porcine sapelovirus. RT-PCR detected viral sequences in six of 48 wild boar fecal samples. Â© 2011 Springer Science+Business Media, LLC.",0
2516,"Genomic and single nucleotide polymorphism analysis of infectious bronchitis coronavirus","Infectious bronchitis virus (IBV) is a Gammacoronavirus that causes a highly contagious respiratory disease in chickens. A QX-like strain was analysed by high-throughput Illumina sequencing and genetic variation across the entire viral genome was explored at the sub-consensus level by single nucleotide polymorphism (SNP) analysis. Thirteen open reading frames (ORFs) in the order 5'-UTR-1a-1ab-S-3a-3b-E-M-4b-4c-5a-5b-N-6b-3'UTR were predicted. The relative frequencies of missense: silent SNPs were calculated to obtain a comparative measure of variability in specific genes. The most variable ORFs in descending order were E, 3b, 5'UTR, N, 1a, S, 1ab, M, 4c, 5a, 6b. The E and 3b protein products play key roles in coronavirus virulence, and RNA folding demonstrated that the mutations in the 5'UTR did not alter the predicted secondary structure. The frequency of SNPs in the Spike (S) protein ORF of 0.67% was below the genomic average of 0.76%. Only three SNPS were identified in the S1 subunit, none of which were located in hypervariable region (HVR) 1 or HVR2. The S2 subunit was considerably more variable containing 87% of the polymorphisms detected across the entire S protein. The S2 subunit also contained a previously unreported multi-A insertion site and a stretch of four consecutive mutated amino acids, which mapped to the stalk region of the spike protein. Template-based protein structure modelling produced the first theoretical model of the IBV spike monomer. Given the lack of diversity observed at the sub-consensus level, the tenet that the HVRs in the S1 subunit are very tolerant of amino acid changes produced by genetic drift is questioned.",0
1801,"Evolution of H5 highly pathogenic avian influenza: sequence data indicate stepwise changes in the cleavage site","The genetic composition of an H5 subtype hemagglutinin gene quasispecies, obtained from ostrich tissues that had been infected with H5 subtype influenza virus was analysed using a next generation sequencing approach. The first evidence for the reiterative copying of a poly (U) stretch in the connecting peptide region in the haemagglutinin cleavage site (HACS) by the viral RNA-dependent RNA polymerase (RdRp) is provided. Multiple non-consensus species of RNA were detected in the infected host, corresponding to likely intermediate sequences between the putative low pathogenic precursor nucleotide sequence of the H5 influenza strain and the highly pathogenic avian influenza virus gene sequence. In silico analysis of the identified RNA sequences predicted that the intermediary H5 sequence PQREKRGLF plays an important role in subsequent mutational events that relocate the HACS coding region from stable base-paired RNA regions to a single-stranded bulge, thereby priming the connecting peptide coding region for RdRp slippage.",0
